Item Number,Item,Item Tagged with Number for Copy/Pasting,2022 RFP Inclusion Status,Item Owner,Validated by Owner,Location (Statewide vs. targeted cities/counties/ZIPS),Health Plan Contact(s),National Contact(s),Functional Area,Description (CAPABILITY DESCRIPTION),"Selling Points (HOW IT'S IMPORTANT TO NM)
- What does the state want to hear about this?
- How can we best explain the value of this?",Population Impacted/Targeted,"Data Demonstrating Effect
- Consider both outcome metrics (e.g. improved utilization rates or quality metrics) and process metrics (number of members/providers engaged, activities performed, etc.)
INTENDED RESULTS/PROOF POINT","Data Demonstrating Need
- What data best illustrates the problem this solution is solving?
WHY? (Pop Health data/Go to Market)",Link to Documentation,Existing or New in RFP,Table Stakes or Differentiation,"PopHealth Strategy: Empower Members
(direct-to-member)","PopHealth Strategy: Evolve Care
(provider & health system)","PopHealth Strategy: Engage Communities
(beyond our members/ providers)",Maternity and NICU,Access to Care,LTSS,SDOH,Care Coordination,Justice Involved,Member Experience,CISC (Children in State Custody),Native Americans,Young Adult_Kids,Community_Based_HP,Behavioral Health,Notes/Comments,VAB Flag ,Clinical Integration ,PMPM,DOA Capital Size
32,STAFF: Community health workers (CHWs),STAFF: Community health workers (CHWs) (RFP Cat. #32),Committed,Bertha Monterrubio,,State-wide   ,Tracy Townsend,Kathlyn Spiess/Karianne Guth/Kari Matheason,Care Management,"1. Our locally based CHWs personally connect with members and influence their behavior by providing education and the resources they need to access timely and appropriate care. Through the personal interactions that CHWs cultivate with members, they are able to identify reasons members are not receiving appropriate care and work to overcome barriers.  
2.CHW also provide culturally-specific wrap around services to pregnant and postpartum members including education, community resource connection, and home visiting ","-Improves health outcomes by working with members to develop healthcare goals and identify potential barriers to achieving healthcare goals.
-When applicable CHWs complete face-to-face visit which has the capability to build strong professional relationships with member and encouraging member buy-in to case and care management services.
-CHWs capability of being on the ground and in the community increases member participation in case and care management services by identifying and engaging members who were previously unable to reach. ",All members/Pregnant Women,NA,"1. CHWs work with members to develop healthcare goals and identify and remove potential barriers to achieving healthcare goals, including SDOH.
2. CHWs meet with members in their communities, including in rural areas, to better understand their needs and environments.",https://uhgazure.sharepoint.com/:p:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/01.%20Fact%20Sheets/One%20Pagers/Final%20One%20Pagers%20in%20Review%20with%20SME%20and%20McKinsey/20220911_UHCNM_MaternityCare_OnePager_strategy%20and%20feedback_vs.pptx?d=wb0c518c287cd402fbc08d9f38de0c560&csf=1&web=1&e=wqj8Wv,New in RFP,Differentiator,x,x,,Perinatal Care Engagement,,,,Care Mgmt Teams and SME,,,,,,,,,,,,
33,STAFF: Network Access Specialist,STAFF: Network Access Specialist (RFP Cat. #33),Committed,Bertha Monterrubio,,State-wide   ,Tracy Townsend,,Care Management,"Partner with care managers to support complex member needs, facilitate appointments, and ensure continuity of care while locating the best provider match (PH/BH/HCBS) ",,65+,"Working with SeniorLink now to deploy caregiver assessment nationally and refer to caregiver coaching, including HCC population in Indiana",,,New in RFP,Differentiator,X,X,,,,,,,,,,,,,,,,,,
34,STAFF: Peer support specialists and Recovery and Resilience liaison ,STAFF: Peer support specialists and Recovery and Resilience liaison  (RFP Cat. #34),Committed,Bertha Monterrubio,,State-wide   ,Tracy Townsend,Kathlyn Spiess,Care Management,"available to pregnant and postpartum members experiencing perinatal SUD or BH conditions 
The peer support specialist is  responsible for working directly with consumers and families upon request, recruiting consumers and families for NM initiatives, supporting existing consumer initiatives, supporting the grievance process, engaging in quality initiatives; collaborating with Care Managers, providers, and community agencies to support consumer access to needed services;  designing and scheduling orientation; creating and implementing a comprehensive ongoing training program with and for consumers, families, consumer and family organizations,  providers and staff; implementing specific projects at the direction of the Executive Director such as the crisis alternative project and the hospitalization review project; and creating and maintaining communication with consumers, youth, families, consumer and family run organizations and providers.","1. Peer support can be a key part of integrated care. By delivering trainings, our PSS is helping develop a workforce uniquely capable of providing guidance and companionship to members with SUD/SMI, or other marginalized populations.
2. Recent studies have identified neighborhood-level socio-economic factors linked to adverse birth outcomes. Women who experience high levels of stress during pregnancy have 25-60% higher risk for preterm delivery.  This impact may be reduced by addressing individual health behaviors, providing social support to reduce stress, increasing access to quality healthcare, healthy food and recreational opportunities.",Pregnant Women/SUB/BH Conditions,Available to work with FSSA on their development,"1. Developing a workforce uniquely capable of providing guidance and companionship to members with SUD/SMI, or other marginalized populations. Lisa's close partnership with Disability Rights of NE constitutes a needed focus on an underserved population. ",https://uhgazure.sharepoint.com/:p:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/01.%20Fact%20Sheets/One%20Pagers/Final%20One%20Pagers%20in%20Review%20with%20SME%20and%20McKinsey/20220911_UHCNM_MaternityCare_OnePager_strategy%20and%20feedback_vs.pptx?d=wb0c518c287cd402fbc08d9f38de0c560&csf=1&web=1&e=wqj8Wv,New in RFP,Differentiator,x,x,,Perinatal SUD/BH Treatment,,,,Care Mgmt Teams and SME,,,,,,,,,,,,
35,STAFF: Recovery and Resiliency market lead,STAFF: Recovery and Resiliency market lead (RFP Cat. #35),Committed,Bertha Monterrubio,,Statewide,,Shaun Pamphile,Operations (non-IT),"This is a GL26. This role will lead outward facing health plan strategues to address diseases of despair (suicide, SUD/OUD/AUD, depression). For exmaple, this role will work to launch suicide prevention campaigns in partnership with CBOs that work with disproportionatly effected member groups.",Commitment to craeting generational change and improving member lives by investing in someone who will work with the community to see suicde/sud/oud/aud startegies fully through,memebrs at risk of suicde/sud/oud/aud,N/A,,,New in RFP,Table Stakes,,,x,,,,,Care Mgmt Teams and SME,,,,,,,,,,,,
36,STAFF: Spiritual Support ,STAFF: Spiritual Support  (RFP Cat. #36),Committed,Geila Rajaee,,State-wide   ,Tracy Townsend,Jana Morris,Care Management,"Offering services that support the whole person – mind, body, & spirit – set UHC apart from competitors. A team of  2 Spiritual Support Coordinators (one focused on LTSS & Adults; one on Maternity, Families & Adolescents. Use of Spiritual Distress Screener to identify individuals in targeted populations where spiritual distress contributes to exacerbation of or apathy towards health issues. hiring an FTE Clinical Chaplin to support members (in-person and virtually) in their spiritual heath goals ","There is emerging evidence that interventions that combine spiritual support with physical and emotional support have positive outcomes.4, 5  
Higher quality of life
Positive health outcomes
Decreased utilization of services",All,"Pilot program run in Texas. No data yet available. This is how we're expecting to meassure success on this program
1. Member participation:   Percentage of members who screen positive for referral to the program. Percentage of members who agree with referral to the pilot.
Percentage of members who actually take the phone call with chaplain at the scheduled time
2. Member satisfaction : Improved self- reported assessment scores & NPS Scores
3. Reduced Health Care Costs. Health care costs 6 months prior to participation, during spiritual support period and 6 months post.
"," 3rd highest elderly rate in the nation 26.5%
Highest rate of elderly in poverty in the nation
50% of NA are rural/50% are urban in state
Huge disparities with other demographics
Food insecurity- NM nationally ranks 44/50*
Poverty rate 20.01% of the population is in poverty — significantly higher  than the national rate of 14.05% — including 28.09% of the  state’s children.",,New in RFP,Differentiator,X,X,,Perinatal Care Management,,Person-Centered Planning & Self-Direction,,Care Mgmt Teams and SME,Empowering members,,,,,,,,,,,
37,STAFF: Tribal Network Liaison,STAFF: Tribal Network Liaison (RFP Cat. #37),Committed,Bertha Monterrubio,,TBD,Tracy Townsend,Jenna Bowman,Network,"Our tribal network liaison serves as a conduit for outreach and problem solving by offering effecivve solution with tribal communities. As a single point of contact, this liaison guides relationships and advocates for tribal populations with network, care management, provider and member services and operations to assure culturally competent care coordination and service delivery. ","Team of individuals support tribal member and provider needs. The tribal liasion, health services,  operations and provider relations. ",All,N/A,,,New in RFP,Table Stakes,X,,,,,,,,,,,,,,,,,,,
38,Suicide awareness and 988 Promotion campaign,Suicide awareness and 988 Promotion campaign (RFP Cat. #38),Committed,Blaine Bergeson,,State-wide,,,Community Engagement,UHC will partner with New Mexico Department of Health Office of Adolescent Health (DOH) and the New Mexico Alliance for School-based Healthcare (NMASBHC) to laucnh suicide awareness and promote 988 national crisis line capmpaigns in schools,"-suicide prevention
","Children including triabl, rural, and foster care",,,https://uhgazure.sharepoint.com/:f:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/DOH%20SBHC%20Partnership?csf=1&web=1&e=3bDxe6,New in RFP,,X,,X,,School-based,,,,,Member Support_Intervention,,Member support_Intervention,,,Suicide Prevention,,,,,
39,Suicide Prevention Posters in communities,Suicide Prevention Posters in communities (RFP Cat. #39),Committed,Blaine Bergeson,,State-wide,,,Community Engagement,"UHC will launch suicide prevention posters in provider offices and through communities/CBOs, including PSA for gun training and safety and other lethal means","-suicide prevention
-engaging and expanding into communities
-promoting gun safety and also awareness of other lethal suicide means
",,,"-In 2020 the New exico suicide rate was almost 80% high than the national average
- In new Mexico Death by suicide among 12-17 year olds increased 34% between 2011 and 2020
- In new Mexico Death by suicide among ages 18+  increased 18% between 2011 and 2020",,New in RFP,,X,X,X,,,,,,,Member Communication`,,Member support_Intervention,,,Suicide Prevention,,,,,
40,Transportation Benefits,Transportation Benefits (RFP Cat. #40),Committed,Arturo Cruz,,State-wide   ,Tracy Townsend,,Value-Added Benefit,"Offer enhanced NEMT and flexible transportation benefits (e.g., to community center), including caregiver reimbursement as a transportation option, assistance in and out of the vehicle, shorter request timeline for urgent appointment needs, etc. (grocery stores – add mail order for pharmacy?)",,65+,,,,New in RFP,Differentiator,X,,,Rural and Frontier Access to Care,,Person-Centered Planning & Self-Direction,Differentiating Member Support,,Post-Release Outreach,Member Support_Intervention,Undisrupted care continuum,Empowering members ande communities,,,,,Combine with VAB above ,,,
41,Virtual Senior Centers ,Virtual Senior Centers  (RFP Cat. #41),Committed,Bertha Monterrubio,,State-wide   ,Tracy Townsend,Ann Strenger,Value-Added Benefit,"allow homebound members to engage with their peers, (Differentiator), and with YMCAs to offer virtual group exercise and wellness classes direct to members’ homes (Differentiator)",,65+,,"1. Reports vary (70% - 90%) but are consistent in that the majority of members would prefer to live and age within the community and prolong placement in a NF for as long as possible.  
2. LTC NF residents are less likely to experience a significant health event in the NF if they are Asian/Pacific Islander than if they are white or black.. BIPOC are more likely to report limitations in ADLs with 37% of black and 33% of Hispanic members compared to white members at 27%.​
3. High isolation, depression  and mental health issues in this population",,New in RFP,Differentiator,X,X,X,,,Support Caregivers & Families ,,,,Member Support_Intervention,,,,,,,Covered in YMCA ,,,
42,White Bison,White Bison (RFP Cat. #42),Committed,Blaine Bergeson,,State-wide,,,Care Management,"Capability for indiginous people to address addiction and other BH issues. From the White Bison booklet, ""The Wellbriety Movement is the 21st Century effort on the part of Indigenous People in Recovery to create the opportunity for individuals, families, communities and nations to live sober and balanced lives; healthy lives that are balanced emotionally, mentally, physically, and spiritually."" White Bison has a variety of trainings including those where Training Facilitators work with youth, men & women and families. ",Addressing SUD/OUD/AUD in tribal communities.,Tribal members,,,https://uhgazure.sharepoint.com/:f:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/White%20Bison?csf=1&web=1&e=jYAB3I,New in RFP,,X,X,X,,,,,Vendor Partnership for Clinical Programs,,Member Support_Intervention,,Community and Member Engagement,,,Addressing SUD/OUD/AUD,,,Non-integrated,,0
43,workforce capacity ,workforce capacity  (RFP Cat. #43),Committed,Peter Morrison,,State-wide   ,Drew Peterson,,Other,Build workforce capacity to support community living in an equitable way by instituting a framework the brings self-direction success into New Mexico.  Supporting members in choosing their own caregiver and remaining in control of their needs ,"1. NM Ranked 37th in AHR Health Outcomes, with poorest performance in Suicide rate, Drug Deaths, LBW, Diabetes, Sexual Health & Teen Births
2. 32 of 33 counties experiencing primary care physician shortage
3. Build workforce capacity to support community living in an equitable way by instituting a framework the brings self-direction success into New Mexico.  Supporting members in choosing their own caregiver and remaining in control of their needs ",All,,"1. Nationally, 2.2M women of child-bearing age live in “maternity care deserts”. One in three of these women live in urban areas. Rural women are 9% more likely than urban women to experience a composite measure of SMM and maternal mortality, and 59% more likely to have an SUD Dx at delivery. Only 8% of all OB providers practice in rural areas. 
2. Recent studies have identified neighborhood-level socio-economic factors linked to adverse birth outcomes. Women who experience high levels of stress during pregnancy have 25-60% higher risk for preterm delivery.  This impact may be reduced by addressing individual health behaviors, providing social support to reduce stress, increasing access to quality healthcare, healthy food and recreational opportunities.
3. Having one of the highest poverty rates in the nation, state dynamics  emphasizes the importance of access to whole person care Medicaid  services. Key to improving health equity is the critical role of SDOH  and applying cultural competence to public health efforts.
4. To ensure that UHC is addressing workforce shortages while addressing SDoH, UHC is committed to hiring Native Americans as care managers and supporting their professional development ", ,New in RFP,Differentiator,X,X,X,Perinatal Care Gap Closure,,Build Workforce Capacity,,,,,,,,,,,,,,
44,ZeroSuicide,ZeroSuicide (RFP Cat. #44),Committed,Blaine Bergeson,,State-wide,,,Care Management,"UnitedHealthCare believes that suicide deaths are preventable for members under our care and the care of our health system. Accordingly, in alignment and partnership with the broader State efforts, we are committing to ZeroSuicide, an aspirational challenge and practical framework for system-wide transformation towards safer suicide care. For UHC, implementing ZeroSuicide represents a systems-level commitment to elevating the importance of suicide prevention within our organization, to our provider network, among our members, their families, and the communities we serve. To better identify risks and provide safer suicide care, we will offer Mental Health First Aid and Suicide Prevention trainings and incentives to our provider network for mental health screening. These provider efforts extend to SBHCs as well, who we are equipping with in-school on-demand crisis stabilization supports. Internally we are committed to reaching zero suicides among our members and aspirationally among the communities we serve; all member-facing staff will participate in trainings in Zero Suicide modules, trauma-informed care and our crisis support protocol. We are investing and partnering with Department of Health, NM Alliance for School-based Health Centers, NM Latino Behavioral Health Coalition, and Protocol (NM’s 988 operator) to launch and sustain a 988 suicide prevention campaign, and are equipping all of our members with 24/7 on-demand crisis support via phone, text and video-visits through our partner Galileo. We understand the magnitude of the issue of preventable suicide deaths in New Mexico; in 2020, NM’s suicide rate was almost 80% higher than the national average, with disparities among Native Americans and Senior Citizens. Through our ZeroSuicide commitment, we aim to achieve outcomes demonstrated by similar health systems, such as the 70% reduction in suicide deaths and zero suicides for 12 months measured by Alpine Indiana Behavioral Health System. 

From Website: 
'-ZeroSuicide is an evidence baseed framework for suicide prevention that is widely considered the preeminent standard for health systems. ZeroSuicide operates and commits to the belief that all suicide is preventable. 
-UHC will lead with ZeroSuicide framework in their strategy to prevent suicide, aligning UHC resources and tactics to ZeroSuicide guidance.
- Zero Suicide is based on the following foundational principles:
1. Core Values—the belief and commitment that suicide can be eliminated in a population under care by improving service access and quality and through practicing continuous quality improvement.
2. Systems Management—taking systematic steps across systems of care to create a culture that no longer finds suicide acceptable, setting aggressive but achievable goals to eliminate suicide attempts and deaths, and organizing service delivery and support accordingly.
3. Evidence-Based Clinical Care Practices—adopting practices that research shows reduce suicide deaths and behaviors and that are delivered through the entire system of care and that emphasize productive patient-staff interactions.","- The state of New Mexico recognizes the impact of ZeroSuicide and is rolling the framework out throughout multiple agencies.
- By committing to ZeroSuice, UHC demonstrates its commitment to collaborating with the State to prevent suicidality in NM.",All,"- After implementing ZeroSucide, Alpine Indiana BH Health System measured a 70% reduction in suicide deaths and reached zero suicides for 12 months. Outcomes between 2014-2018
- After implementing ZeroSucide in 2017, Riveredge Hospital in IL observed a 21% decrease in 30-day readmissions compared to the previous year.
-  Mental Health Center of Greater Manchester (NH) observed a 44% reduction in suicide deaths the first year after implementation. ","-In 2020 the New exico suicide rate was almost 80% high than the national average
- In new Mexico Death by suicide among 12-17 year olds increased 34% between 2011 and 2020
- In new Mexico Death by suicide among ages 18+  increased 18% between 2011 and 2020",https://uhgazure.sharepoint.com/:f:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/ZeroSuicide?csf=1&web=1&e=3MwjIM,New in RFP,Differentiator,X,X,X,,,,,,,Member Support_Intervention,Supporting kids and Young Adults to thrive,Provider as partner_Generational change,,,Suicide Prevention,,,,,
45,Culturally Sensitive & Diverse Call Center,Culturally Sensitive & Diverse Call Center (RFP Cat. #45),Committed,Arielle Zina,,State-wide   ,Tracy Townsend,Giselle Naranjo-Cruz,Employee Training,"In NM we'll have a diverse population and specific populations of focus (Maternity, LTSS, Native Americans, Children in State of Custody, Justice Involved), each population is facing different challenges and are in need of a specific support. On top of that our future members speak different language or dialects. Our call center are a key connecting points with members, we will offer a personalized experience and this requires that our personel not only speak the language the member speaks, but that also understant their culture and its specifir circunstances to be able to refer them to the care they need","Anchor health plan in empathy training. Deploy SDoH empathy training for 100% of health plan staff (9 modules-learn source) and culturally responsive training (e.g., NUKA 2-day training or alternative NA training) for member-facing staff. ",All members,"We deliver a local experience congruent with members’ cultural and linguistic needs, and one that reflects lived experience of special populations (e.g., local NM justice involved navigator, BH navigators, Tribal navigators). We also upskill our national staff to deliver competent care for all identities (e.g., empathy training for 100% of staff) ","Languages: English, Spanish: Navajo several other Native American languages are spoken by smaller groups in New Mexico, most of which are endemic to the state. Native New Mexican languages include Mescalero Apache, Jicarilla Apache, Tewa, Southern Tiwa, Northern Tiwa, Towa, Keres (Eastern and Western), and Zuni. 
With higher levels of poverty, homelessness, lack of insurance and limited English proficiency, Native Americans experience difficulties in accessing health care and suffer from significant health disparities. 
Cultural differences magnify the challenges in obtaining appropriate health services and demonstrate an increased need for a clinical model that must be uniquely adapted to fit the needs of the Native American population. ",,New in RFP,Differentiator,X,X,X,,,,Culturally Sensitive & Diverse Call Center,,,,,,,,,,,,,
46,Food insecurity ,Food insecurity  (RFP Cat. #46),Committed,Arielle Zina,,State-wide   ,Tracy Townsend,Giselle Naranjo-Cruz,Value-Added Benefit,"Offer food vendor or $200 discretionary funds PEMPY (managed by SDoH Navigator) for members facing urgent food insecurity needs.
For NA: Address Food Insecurity through partnership with Meals on Wheels for Home and Community Center delivery of nutritious traditional Native American Meals in 5 Pueblos (name the locations), and fund ECHO to expand specialty food box delivery for NA chapters in NW corner of the State. ",,All members,,"Food insecurity: 1/5 children face hunger across NM1
NM ranks 44th for food insecurity (AHR)
25% of NM children live in poverty
Poverty rate 20.01% of the population is in poverty — significantly higher  than the national rate of 14.05% — including 28.09% of the  state’s children.
40% of Native American children live in poverty in NM
30% of Native Americans of all ages live in poverty in NM",,New in RFP,Differentiator,X,X,,Perinatal Care Management,,Person-Centered Planning & Self-Direction,Differentiating Member Support,,Empowering members,Empower Members_SDOH elimination,Supporting kids and Young Adults to thrive,Empowering members ande communities,"Engage and Support Child, Adolescent, and Family ",,,,Remove,,,
47,STAFF- SDOH,STAFF- SDOH (RFP Cat. #47),Committed,Arielle Zina,,State-wide   ,Tracy Townsend,Giselle Naranjo-Cruz,Other,"Deploy five fully funded roles (SDoH Navigator, Housing Navigator, Employment/Education Navigator, Justice-Involved navigator ,Native American Navigator) dedicated to provide connection to SDoH supports and culturally-responsive wrap around services",In light with all the SDOH opportunities that NM presents UHG needs to have a lasser focus on each population to drive a differenciation in the health care outcomes for our members,All members,,"Food insecurity: 1/5 children face hunger across NM1
1. Housing: NM is ranked across 11th with greatest extent of homelessness2
2. Education: 23% of high school students in NM do not graduate high school, the 2nd  lowest ranking in the US3
3. Transportation: Limited specialist access, especially in 60% rural areas6 (e.g., maternity deserts, higher acuity care)
4. Health literacy: lack of trust/engagement in preventive care, particularly among Tribal communities4
5. Economic opportunity: NM ranked 50th all states for Opportunity Index scores)5
6. Obesity and diabetes among NM youth are disproportionately higher in Native and Hispanic populations
7. Disproportionate unmet social needs among individuals with BH conditions (e.g., individuals with poor mental health are 2.5X likely to report unmet social needs)",,New in RFP,Differentiator,X,X,,,,,Differentiating Member Support,Care Mgmt Teams and SME,,Empower Members_SDOH elimination,,Member support_Intervention,,,,,,,,
48,Benelynk,Benelynk (RFP Cat. #48),Committed,Arielle Zina,,State-wide   ,Tracy Townsend,Giselle Naranjo-Cruz,Care Management,Benelynk is a SDoH screening and referral organization providing customizable member engagement opportunities for addressing SDoH through their community resource directory which administers deep insight on member’s needs and outcomes,"
1. Deploy targeted SDoH screening and referrals for all CHIP members through vendor. (Benelynk)
2. Conduct targeted outbound SDoH screening and referrals for specific populations (e.g., TANF which might include populations in Justice Involved, LTSS, Maternal, Behavior Health, and Native American Populations) goal would be to reach 5% of total population Vendor: Benelynk","1. Kids and Young Adults (CHIP)
2. Specific populations","0.33% – 11.76%
Screen/Refer all Tier 2: 1,020- 3,400 members 1.2% - 4% 
Follow up to referral members screened by vendors: 280-969 members 0.33% - 1.14%
Screen/Refer all CHIP: 5,000-10,000 members 5.8% - 11.76%
1.Live person direct support within three days of receiving referral from UHC
2.Only pay for member reached and supported 
3.Customization available 
Max cost $24 PEMPY 
  
Screen/Refer all Tier 2: $24,480 - $81,600
Follow up to referral members screened by vendors: $6,720 - $23,256
Screen/Refer all  CHIP: $120,000 – $240,000","1. Recent studies have identified neighborhood-level socio-economic factors linked to adverse birth outcomes. Women who experience high levels of stress during pregnancy have 25-60% higher risk for preterm delivery.  This impact may be reduced by addressing individual health behaviors, providing social support to reduce stress, increasing access to quality healthcare, healthy food and recreational opportunities.",,New in RFP,Differentiator,X,X,,,,,Differentiating Member Support,,,Empower Members_SDOH elimination,,,,,,,,,,
49,Eliza,Eliza (RFP Cat. #49),Committed,Arielle Zina,,State-wide   ,Tracy Townsend,Giselle Naranjo-Cruz,Care Management,"Incorporate Eliza (phone service- National contract) for member-level close loop referral process. Note, necessary for NCQA HEA+ accreditation requirements ",,All members,,"1. Recent studies have identified neighborhood-level socio-economic factors linked to adverse birth outcomes. Women who experience high levels of stress during pregnancy have 25-60% higher risk for preterm delivery.  This impact may be reduced by addressing individual health behaviors, providing social support to reduce stress, increasing access to quality healthcare, healthy food and recreational opportunities.",,New in RFP,Table Stakes,X,X,,,,,Voice of Member as Continuous Key Input,,,Empower Members_SDOH elimination,,,,,,,,,,
50,SDOH Data Analysis,SDOH Data Analysis (RFP Cat. #50),Committed,Arielle Zina,,State-wide   ,Tracy Townsend,Giselle Naranjo-Cruz,Care Management,"Review SDoH member and clinical insights monthly to continuously ensure a hyperlocalized understanding of member needs, using patterns by REL and geography to determine community partnerships ","UHC will integrate individual screening data (gathered via member engagement through UHC and Optum, providers, CBOs, other service providers) with community level indicators, via XX platform
This data will be paired with claims, clinical, and social service utilization data (e.g., from closed loop referrals, benefit uptake) to generate insights on the relationships between SDoH needs and interventions and access, engagement, utilization, quality (e.g., HEDIS), and outcomes",All members,"oRecognizing that social needs are often co-occurring and complex for vulnerable populations, we have further tailored SDoH supports for special populations (e.g., school-based mental health for CISC, housing and employment navigation for justice involved and BH population, XYZ others) ","Our decision-quality analytics will not only inform UHC’s actions, but can be shared with the state of NM to inform approaches to health and human services delivery broadly
In parallel, SDoH and health equity data will be used across our plan’s operations (e.g., enrollment, member services, network development) to maintain and advance more equitable and non-biased processes",,New in RFP,Differentiator,X,X,,,,,Voice of Member as Continuous Key Input,,,,,,,,,,,,,
51,SDOH- Discretionary Funds to empower members,SDOH- Discretionary Funds to empower members (RFP Cat. #51),Rejected,Arielle Zina,,State-wide   ,Tracy Townsend,Giselle Naranjo-Cruz,Value-Added Benefit,"1. Discretionary funds of $130,000 PY to be able to provide stipends for caregiver providing transportation and gas reimbursement (Differentiator) 
2. Provide reimbursement for services rendered for traditional healing method. Native Americans  (Differentiator) 
3. Discretionary funds of $75,000 PY to pay for social needs with no available resource located in frontier/rural communities through Community Based Organizations (e.g., AC unit, air filter, rent assistance, housing renovation for safety/disabilities, school supplies,) to be determined by SDoH Navigator through escalation committee. (Differentiator) 
4. Discretionary fund up to $75,000 PY for vocational support for Native American population to seek healthcare related employment certification to receive up to $1,000-$1,500 PEMPY to pay for courses, textbooks, exams, and supplies for Midwife, Doula, and/or other healthcare field certification. (linkage with Maternity One Pager) . (Differentiator) 
5.Member connectivity Fund- 
6. $50 gift card PEMPY up to $13,000 PY incentives for CISC population for the completion of their wellness check, and SDOH screening closing HEDIS care gaps and driving referrals when needed. Driven the by SDOH Navigator in coordination with care coordinator assigned to the member (Differentiator). National average: Aiming for 80% (TBD)
7. Discretionary fund up to $30,000 PY for prevocational support for all members but focus on JI, Latinx to receive up to $150 to pay for courses, textbooks, and supplies for GED, ESL, and/or other certification.
8. Food support card  up to $200 gift card (Just released justice involved members)","We design care pathways, benefits, and incentives so that social needs are met in a timely and integrated way with physical and BH needs– especially for key populations in NM (e.g., Tribal, LTSS, BH, CISC, maternity)",All members,"1. Geographic considerations: 21% Metro, 79% Rural 
2. NM households with annual income of less than $15,000- which are disproportionaly black, native americans and hispanic- spend on average 33% of their income on food compared to 4% for households earing more than $70,000
3. In 2020, 26% of New Mexico children experienced food insecurity
4. In 2019, 25% of New Mexico children lived in poverty
5. Food Insecurity – Twenty percent(20%) of formerly incarcerated people report suffering from food insecurity 
6. Housing – JI individual are up to 11.3 times more likely to experience homelessness compared to the general population. 
7. Employment: Greater difficulty faced by JI members to gain and maintain well paying jobs.
8. Education: Recidivism rate substantially higher among JI individuals with lower-level educational attainment","Member Centric Approach
Advancing Health Equity
Improve Quality Outcomes  
Gainful Employment 
Wrap Around Services
Engage Key Populations
Rural access to care
Increasing Transportation
Housing Stability ",,New in RFP,Differentiator,X,X,,,,,Rural and NA Members Focus,,Empowering members,Empower Members_SDOH elimination,,Member support_Intervention,,,,,Yes (need to weave member enablement into this) ,,,
52,Empowering Health and Catalyst ,Empowering Health and Catalyst  (RFP Cat. #52),Committed,Arielle Zina,,State-wide   ,Tracy Townsend,Giselle Naranjo-Cruz,Other,"1. Identify data and work to solve for resource deserts where members needs are not being met through partnerships with Empowering Health and Catalyst to help guide charitable giving to communities with the largest disparities (Parity)- National program (National team-Community strategist). No additional cost to the health plan
2. Discretionary fund up to $50,000 PY for prevocational support for all members but focus on JI, Foster, Latinx to receive up to $150 to pay for courses, textbooks, and supplies for GED, ESL, Phlebotomist, and/or other certification. ",,All members,,,,New in RFP,Differentiator,X,X,,,,,Empower Members,,,,,,,,,,,,,
53,SDOH and Member Communication ,SDOH and Member Communication  (RFP Cat. #53),Committed,Arielle Zina,,State-wide   ,Tracy Townsend,Giselle Naranjo-Cruz,Member Engagement,"1. Adding to the member’s welcome packet information on SDoH resources for member to reach to support if needed.  (Parity)
2. Leverage our UHC Community Connector to set an automatic alert/email/text to members on an annual basis to remind them about getting their SDoH screening completion. (Differentiator) (Member can call us, search for resources or receive a follow up from SDOH Navigator). Data is sourced in the system. No additional cost. In construction .  (Differentiator) 
3..Collaboration with the Redetermination team to add SDoH verbiage to their email/letters sent out to members 60 days prior to their lapse in coverage to drive annual SDOH assessment.  (Parity)
4. During each SDOH screening encounter, gain member consent for text messages to improve communication for other, non-SDOH initiatives .  (Differentiator)",,All members,,,,New in RFP,Differentiator,X,X,,,,,Voice of Member as Continuous Key Input,,,Empower Members_SDOH elimination,,Member Communication,,,,,,,,
54,Predictive Social isolation tool,Predictive Social isolation tool (RFP Cat. #54),Committed,Arielle Zina,,State-wide   ,Tracy Townsend,Giselle Naranjo-Cruz,Care Management,Social Isolation Model is one of our predictive models addressing consumers social determinants of health issues. Social Isolation Model predicts members likelihood of having social isolation risk. The model ranks members aged 18+ into 10 deciles (from 0 to 9) based on predicted social isolation risk score. Consumers in top decile (0) have the highest risk and consumers in bottom decile (9) have the lowest risk.,,65 +,,,,New in RFP,Differentiator,X,X,,,,,Differentiating Member Support,,,Empower Members_SDOH elimination,,,,,,,,,,
